run_id,market,lookback_label,lookback_days,skip_label,skip_days,quantile,evaluation_start,evaluation_end,runtime_seconds,rebal_freq,gross_exposure,transaction_cost_bps,portfolio_accounting,annualization_days,start_date,end_date,n_days,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,calmar,daily_hit_rate,n_rebalances,total_turnover,annualized_turnover,avg_rebalance_turnover,avg_n_eligible,avg_n_long,avg_n_short,min_n_long,min_n_short,min_daily_gross_exposure,max_daily_gross_exposure,max_abs_daily_net_exposure,days_with_stale_held_prices,avg_stale_held_gross_exposure,max_stale_held_gross_exposure,n_stale_recovery_events,max_abs_stale_recovery_return,max_abs_stale_recovery_contribution,n_zero_target_rebalances,zero_target_effective_dates,has_zero_target_rebalance
us_lb24M_sk3M_q10,us,24M,504,3M,63,0.1,1992-01-02,2024-12-31,33.01299937500153,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,-0.6119850263002438,-0.0282973936259929,0.1002822585052549,-0.2359760955175441,-0.7395330239514517,-0.0382638674805826,0.5171459511490796,396,101.1385846231606,3.0666494194484986,0.2554004662201025,2015.5025252525252,201.1161616161616,201.1161616161616,108,108,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,6816,0.0062043263774376,0.0755437957005302,2790,3.444445,0.0067128498469817,0,,False
us_lb24M_sk3M_q20,us,24M,504,3M,63,0.2,1992-01-02,2024-12-31,53.530377832998056,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,-0.5334141826759753,-0.0228492119143205,0.0798908675362736,-0.2492904394433195,-0.6500498927021234,-0.0351499356754618,0.5220791721814463,396,86.83556419462467,2.632963804240815,0.2192817277642036,2015.5025252525252,402.709595959596,402.709595959596,216,216,0.9999999999999996,1.0000000000000004,2.775557561562891e-16,7805,0.0055147737425536,0.0473487170766554,5092,3.444445,0.0033340289631736,0,,False
us_lb24M_sk3M_q30,us,24M,504,3M,63,0.3,1992-01-02,2024-12-31,71.44785120799497,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,-0.4717715806207625,-0.0191657868960698,0.0663936424177704,-0.2582112515321723,-0.5607766601730568,-0.0341772193053741,0.5201540127541812,396,76.5743528404505,2.321830936805863,0.1933695778799255,2015.5025252525252,604.1994949494949,604.1994949494949,324,324,0.9999999999999996,1.0000000000000004,2.775557561562891e-16,8076,0.0050946763046669,0.0367211836674919,7482,3.444445,0.0022198413527086,0,,False
moex_lb6M_sk0M_q10,moex,6M,126,0M,0,0.1,2015-07-01,2024-12-30,3.2004819590001716,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.48543575454608,0.1000097308325669,0.1428395727331403,0.7387804480921843,-0.284192359878492,0.3519085835922071,0.5230577482343166,114,49.22140531736456,5.153217341078466,0.4317667133102155,75.14035087719299,6.991228070175438,6.991228070175438,4,4,0.9999999999999998,1.0000000000000004,2.498001805406602e-16,98,0.0101707389627039,1.0,42,0.495049504950495,0.0333669456139817,0,,False
moex_lb6M_sk0M_q20,moex,6M,126,0M,0,0.2,2015-07-01,2024-12-30,3.405248000002757,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.3378852415236953,0.0929840171951064,0.0964180651731159,0.9705446817001308,-0.1787278919602979,0.520254651779598,0.5346904860822601,114,41.36313859178037,4.330498930257022,0.362834549050705,75.14035087719299,14.578947368421051,14.578947368421051,8,8,0.9999999999999996,1.0000000000000004,2.220446049250313e-16,154,0.0102533923935946,1.0000000000000002,92,0.990509439616422,0.020866789492866,0,,False
moex_lb6M_sk0M_q30,moex,6M,126,0M,0,0.3,2015-07-01,2024-12-30,3.3652963749991613,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.0777337481723492,0.0795678928070282,0.0756243719835,1.0504014168608455,-0.2002069994061032,0.3974281271037453,0.5409223099293726,114,35.278902017524956,3.693511968598375,0.3094640527853066,75.14035087719299,22.105263157894736,22.105263157894736,13,13,0.9999999999999996,1.0000000000000004,2.3592239273284576e-16,191,0.0098713235101279,1.0,133,0.990509439616422,0.0137861168357403,0,,False
moex_lb6M_sk1M_q10,moex,6M,126,1M,21,0.1,2015-07-01,2024-12-30,3.2214386249979725,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.0819587869247562,0.079797518354437,0.1297797445259512,0.6563758497685679,-0.2911819767601353,0.274046900987183,0.5213959285417532,114,48.965295359389025,5.126404001066071,0.4295201347314827,74.70175438596492,6.947368421052632,6.947368421052632,4,4,0.9999999999999996,1.0000000000000004,2.3592239273284576e-16,116,0.0115156289666607,1.0,46,0.495049504950495,0.0333926151248311,0,,False
moex_lb6M_sk1M_q20,moex,6M,126,1M,21,0.2,2015-07-01,2024-12-30,3.287104167000507,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.0682993148501567,0.0790536304295626,0.092264585597385,0.8709139166834109,-0.2143057481804767,0.3688824546273387,0.5263813876194433,114,41.12301758628424,4.305359547878533,0.3607282244410897,74.70175438596492,14.491228070175438,14.491228070175438,8,8,0.9999999999999996,1.0000000000000004,2.463307335887066e-16,161,0.0104640351923678,1.0000000000000002,93,0.495049504950495,0.0163991479918339,0,,False
moex_lb6M_sk1M_q30,moex,6M,126,1M,21,0.3,2015-07-01,2024-12-30,3.4892321250008536,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,0.9255694935857656,0.0710058002681421,0.0713588175834463,0.997149473276412,-0.1844892020499028,0.3848778111628218,0.5321977565434151,114,35.614706797188724,3.7286689293276103,0.3124097087472695,74.70175438596492,21.982456140350877,21.982456140350877,13,13,0.9999999999999996,1.0000000000000002,3.05311331771918e-16,213,0.0099608931778632,1.0000000000000002,135,0.495049504950495,0.0107891228141907,0,,False
moex_lb6M_sk3M_q10,moex,6M,126,3M,63,0.1,2015-07-01,2024-12-30,3.191655542002991,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.045518759722396,0.0778031716662064,0.1333723197357557,0.6283609487401361,-0.196141158987939,0.3966692766967418,0.5180722891566265,114,48.74170687222512,5.102995484753108,0.4275588322125011,73.87719298245614,6.885964912280702,6.885964912280702,4,4,0.9999999999999996,1.0000000000000002,2.220446049250313e-16,91,0.010361944067058,1.0,45,0.495049504950495,0.0326774997132125,0,,False
moex_lb6M_sk3M_q20,moex,6M,126,3M,63,0.2,2015-07-01,2024-12-30,3.2910008749968256,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.0190639816702691,0.0763352858175863,0.0890671341301376,0.8705376262890323,-0.1222751724382968,0.6242909684392962,0.5205650186954716,114,40.94524746929535,4.286747969365363,0.3591688374499593,73.87719298245614,14.324561403508772,14.324561403508772,8,8,0.9999999999999996,1.0000000000000004,2.498001805406602e-16,152,0.0101250182994192,1.0,89,0.495049504950495,0.0168150895650343,0,,False
moex_lb6M_sk3M_q30,moex,6M,126,3M,63,0.3,2015-07-01,2024-12-30,3.3259273749936256,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,0.6834328240536143,0.0560427200351596,0.0698876588237626,0.8152497973466677,-0.1375076833600216,0.4075606443636244,0.519318653926049,114,35.91328304570611,3.7599282623672368,0.3150287986465447,73.87719298245614,21.75438596491228,21.75438596491228,13,13,0.9999999999999996,1.0000000000000004,2.3592239273284576e-16,163,0.009562789970113,1.0000000000000002,136,0.495049504950495,0.0109423258678156,0,,False
moex_lb12M_sk0M_q10,moex,12M,252,0M,0,0.1,2015-07-01,2024-12-30,3.1843674579940853,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.936484282819292,0.1193838863637759,0.1379688288085868,0.8863203327616254,-0.2229470386145555,0.5354809245534501,0.5267968425425841,114,36.837556251218174,3.856694713463639,0.3231364583440189,72.3157894736842,6.719298245614035,6.719298245614035,0,0,0.9999999999999996,1.0000000000000002,2.220446049250313e-16,72,0.0099131037283182,1.0,46,0.495049504950495,0.032627299481807,1,2023-02-01,True
moex_lb12M_sk0M_q20,moex,12M,252,0M,0,0.2,2015-07-01,2024-12-30,3.3888834589961334,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.3420495730753577,0.0931876812222887,0.0975284718837278,0.962554162731332,-0.1698392345059477,0.5486817076947276,0.5288741171582884,114,30.141281705962253,3.1556306563782663,0.2643972079470373,72.3157894736842,14.052631578947368,14.052631578947368,0,0,0.9999999999999996,1.0000000000000002,2.498001805406602e-16,181,0.0106869604945639,1.0,91,0.495049504950495,0.016607001412779,1,2023-02-01,True
