market,sample,variant,base_strategy_type,base_strategy_is_stable,base_strategy_members,switching_tc_bps,mean_exposure,risk_off_share,n_switches,total_switching_turnover,switching_tc_drag_arithmetic,missed_positive_return_sum,avoided_negative_return_sum,baseline_n_days,baseline_start,baseline_end,baseline_total_return,baseline_annualized_return,baseline_annualized_volatility,baseline_sharpe,baseline_sortino,baseline_max_drawdown,baseline_calmar,baseline_worst_day,baseline_q01_daily_return,baseline_expected_shortfall_1pct,protected_n_days,protected_start,protected_end,protected_total_return,protected_annualized_return,protected_annualized_volatility,protected_sharpe,protected_sortino,protected_max_drawdown,protected_calmar,protected_worst_day,protected_q01_daily_return,protected_expected_shortfall_1pct,delta_annualized_return,delta_sharpe,delta_sortino,delta_max_drawdown,delta_calmar,delta_expected_shortfall_1pct,crisis_window,crisis_start,crisis_end,evidence_role
moex,validation_crisis_diagnostic,no_protection,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,252,2022-01-03,2022-12-30,0.03096926870720207,0.03096926870720207,0.1288024460952318,0.3010291712901897,0.37958661820314593,-0.14385284090671757,0.2152843733359727,-0.05712950151895469,-0.018513264724159505,-0.033240244845043836,252,2022-01-03,2022-12-30,0.03096926870720207,0.03096926870720207,0.1288024460952318,0.3010291712901897,0.37958661820314593,-0.14385284090671757,0.2152843733359727,-0.05712950151895469,-0.018513264724159505,-0.033240244845043836,0.0,0.0,0.0,0.0,0.0,0.0,moex_structural_break_2022,2022-01-01,2022-12-31,in_sample_validation_diagnostic_only
moex,validation_crisis_diagnostic,portfolio_vol_q90,stable_ensemble,True,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,20.0,0.45634920634920634,0.5436507936507936,10,5.0,0.01,0.3092762701599526,0.38594337086622066,252,2022-01-03,2022-12-30,0.03096926870720207,0.03096926870720207,0.1288024460952318,0.3010291712901897,0.37958661820314593,-0.14385284090671757,0.2152843733359727,-0.05712950151895469,-0.018513264724159505,-0.033240244845043836,252,2022-01-03,2022-12-30,0.10783461346455914,0.10783461346455914,0.07819851792273327,1.348368193098608,1.8166846419188551,-0.05597061456745078,1.926629076666766,-0.01965215098349217,-0.01077443629454793,-0.015527981097764647,0.07686534475735707,1.0473390218084182,1.4370980237157092,0.08788222633926679,1.7113447033307934,0.01771226374727919,moex_structural_break_2022,2022-01-01,2022-12-31,in_sample_validation_diagnostic_only
us,validation_crisis_diagnostic,combo_and_q90,stable_single,True,us_lb6M_sk1M_q10,25.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,51,2020-02-19,2020-04-30,-0.012679258239887137,-0.061104432491359884,0.12757879219575247,-0.4312629430423351,-0.5197767160262231,-0.05819588222820127,-1.0499786265246986,-0.0263147552409835,-0.02508444812939265,-0.0263147552409835,51,2020-02-19,2020-04-30,-0.012679258239887137,-0.061104432491359884,0.12757879219575247,-0.4312629430423351,-0.5197767160262231,-0.05819588222820127,-1.0499786265246986,-0.0263147552409835,-0.02508444812939265,-0.0263147552409835,0.0,0.0,0.0,0.0,0.0,0.0,covid_2020,2020-02-19,2020-04-30,in_sample_validation_diagnostic_only
us,validation_crisis_diagnostic,market_vol_q90,stable_single,True,us_lb6M_sk1M_q10,25.0,0.27450980392156865,0.7254901960784313,1,0.5,0.00125,0.09801206097071206,0.15247482441277047,51,2020-02-19,2020-04-30,-0.012679258239887137,-0.061104432491359884,0.12757879219575247,-0.4312629430423351,-0.5197767160262231,-0.05819588222820127,-1.0499786265246986,-0.0263147552409835,-0.02508444812939265,-0.0263147552409835,51,2020-02-19,2020-04-30,0.04275588722826518,0.22982604081076596,0.04430997737274839,4.692253564332026,31.518614263275296,-0.0030408993074193535,75.57831337921112,-0.0014722717013671213,-0.0014650488844796638,-0.0014722717013671213,0.29093047330212585,5.123516507374361,32.03839097930152,0.055154982920781914,76.62829200573583,0.024842483539616378,covid_2020,2020-02-19,2020-04-30,in_sample_validation_diagnostic_only
us,validation_crisis_diagnostic,no_protection,stable_single,True,us_lb6M_sk1M_q10,25.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,51,2020-02-19,2020-04-30,-0.012679258239887137,-0.061104432491359884,0.12757879219575247,-0.4312629430423351,-0.5197767160262231,-0.05819588222820127,-1.0499786265246986,-0.0263147552409835,-0.02508444812939265,-0.0263147552409835,51,2020-02-19,2020-04-30,-0.012679258239887137,-0.061104432491359884,0.12757879219575247,-0.4312629430423351,-0.5197767160262231,-0.05819588222820127,-1.0499786265246986,-0.0263147552409835,-0.02508444812939265,-0.0263147552409835,0.0,0.0,0.0,0.0,0.0,0.0,covid_2020,2020-02-19,2020-04-30,in_sample_validation_diagnostic_only
us,validation_crisis_diagnostic,portfolio_vol_q90,stable_single,True,us_lb6M_sk1M_q10,25.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,51,2020-02-19,2020-04-30,-0.012679258239887137,-0.061104432491359884,0.12757879219575247,-0.4312629430423351,-0.5197767160262231,-0.05819588222820127,-1.0499786265246986,-0.0263147552409835,-0.02508444812939265,-0.0263147552409835,51,2020-02-19,2020-04-30,-0.012679258239887137,-0.061104432491359884,0.12757879219575247,-0.4312629430423351,-0.5197767160262231,-0.05819588222820127,-1.0499786265246986,-0.0263147552409835,-0.02508444812939265,-0.0263147552409835,0.0,0.0,0.0,0.0,0.0,0.0,covid_2020,2020-02-19,2020-04-30,in_sample_validation_diagnostic_only
us,validation_crisis_diagnostic,combo_and_q90,stable_single,True,us_lb6M_sk1M_q10,25.0,0.7330677290836654,0.26693227091633465,10,5.0,0.0125,0.41944908551834836,0.45088761413468204,251,2022-01-03,2022-12-30,0.09554834505047594,0.09594672134778781,0.21147425042396276,0.5392333103119799,0.7069759768836014,-0.19788817168196415,0.484853240758566,-0.052037491463296795,-0.03930457092834365,-0.04552265345014209,251,2022-01-03,2022-12-30,0.12679896638263943,0.12733502296313426,0.16222776052708857,0.8201305411056319,0.9213271130562207,-0.1148676285349346,1.108537057717771,-0.04293074419416469,-0.02907268488973108,-0.036042119075909484,0.03138830161534645,0.28089723079365203,0.21435113617261936,0.08302054314702956,0.6236838169592049,0.009480534374232609,us_bear_2022,2022-01-01,2022-12-31,in_sample_validation_diagnostic_only
us,validation_crisis_diagnostic,market_vol_q90,stable_single,True,us_lb6M_sk1M_q10,25.0,0.6135458167330677,0.38645418326693226,9,4.5,0.01125,0.5121379996653265,0.5322549516775301,251,2022-01-03,2022-12-30,0.09554834505047594,0.09594672134778781,0.21147425042396276,0.5392333103119799,0.7069759768836014,-0.19788817168196415,0.484853240758566,-0.052037491463296795,-0.03930457092834365,-0.04552265345014209,251,2022-01-03,2022-12-30,0.116549115746301,0.11703962776482246,0.1564029721651021,0.7860223940394707,0.8360258454380167,-0.1148676285349346,1.0189087148188778,-0.04293074419416469,-0.02873638390344512,-0.036042119075909484,0.02109290641703465,0.24678908372749087,0.12904986855441536,0.08302054314702956,0.5340554740603118,0.009480534374232609,us_bear_2022,2022-01-01,2022-12-31,in_sample_validation_diagnostic_only
us,validation_crisis_diagnostic,no_protection,stable_single,True,us_lb6M_sk1M_q10,25.0,1.0,0.0,0,0.0,0.0,0.0,-0.0,251,2022-01-03,2022-12-30,0.09554834505047594,0.09594672134778781,0.21147425042396276,0.5392333103119799,0.7069759768836014,-0.19788817168196415,0.484853240758566,-0.052037491463296795,-0.03930457092834365,-0.04552265345014209,251,2022-01-03,2022-12-30,0.09554834505047594,0.09594672134778781,0.21147425042396276,0.5392333103119799,0.7069759768836014,-0.19788817168196415,0.484853240758566,-0.052037491463296795,-0.03930457092834365,-0.04552265345014209,0.0,0.0,0.0,0.0,0.0,0.0,us_bear_2022,2022-01-01,2022-12-31,in_sample_validation_diagnostic_only
us,validation_crisis_diagnostic,portfolio_vol_q90,stable_single,True,us_lb6M_sk1M_q10,25.0,0.3545816733067729,0.6454183266932271,4,2.0,0.005,0.9502459538658893,0.8469136275027054,251,2022-01-03,2022-12-30,0.09554834505047594,0.09594672134778781,0.21147425042396276,0.5392333103119799,0.7069759768836014,-0.19788817168196415,0.484853240758566,-0.052037491463296795,-0.03930457092834365,-0.04552265345014209,251,2022-01-03,2022-12-30,-0.00038227456811701366,-0.0003837972820643909,0.10619957101611399,0.04962384305674237,0.036077678527932394,-0.11821122722095057,-0.003246707534361597,-0.04293074419416469,-0.02500257448125754,-0.03262662638098085,-0.0963305186298522,-0.48960946725523746,-0.6708982983556689,0.07967694446101359,-0.4880999482929276,0.012896027069161244,us_bear_2022,2022-01-01,2022-12-31,in_sample_validation_diagnostic_only
