run_id,market,lookback_label,lookback_days,skip_label,skip_days,quantile,evaluation_start,evaluation_end,runtime_seconds,rebal_freq,gross_exposure,transaction_cost_bps,portfolio_accounting,annualization_days,start_date,end_date,n_days,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,calmar,daily_hit_rate,n_rebalances,total_turnover,annualized_turnover,avg_rebalance_turnover,avg_n_eligible,avg_n_long,avg_n_short,min_n_long,min_n_short,min_daily_gross_exposure,max_daily_gross_exposure,max_abs_daily_net_exposure,days_with_stale_held_prices,avg_stale_held_gross_exposure,max_stale_held_gross_exposure,n_stale_recovery_events,max_abs_stale_recovery_return,max_abs_stale_recovery_contribution
us_lb12M_sk3M_q20,us,12M,252,3M,63,0.2,1992-01-02,2024-12-31,55.86570741600008,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,0.1419817396820413,0.004033719528158786,0.08574522684927408,0.08994462157643571,-0.5078951093304216,0.007942032624564154,0.5261701359643846,396,109.07160660865011,3.3071886494260414,0.2754333500218437,2138.0530303030305,427.199494949495,427.199494949495,224,224,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7862,0.005537117779805189,0.046124523321564644,5419,3.444445,0.00318734526674296
us_lb12M_sk3M_q30,us,12M,252,3M,63,0.3,1992-01-02,2024-12-31,77.05832195899711,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,0.11857899652105175,0.0034035530018725613,0.0719184842776847,0.08329690540582235,-0.46080271671156325,0.0073861391837301065,0.5249669113223439,396,95.63545229893438,2.8997875080413267,0.24150366742155147,2138.0530303030305,640.9671717171717,640.9671717171717,336,336,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,8121,0.00516762463903589,0.037233495128615,8203,3.444445,0.002127026250454233
us_lb24M_sk0M_q10,us,24M,504,0M,0,0.1,1992-01-02,2024-12-31,32.89662649999809,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,-0.5854197299724384,-0.0263442981524189,0.11305405408421725,-0.17933311888981268,-0.803395633038934,-0.03279118913401189,0.5241246540729154,396,100.44247906674522,3.0455426212032,0.25364262390592224,2051.419191919192,204.6969696969697,204.6969696969697,109,109,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7067,0.0071779330386320325,0.08304296807973637,3329,3.444445,0.006629807431275402
us_lb24M_sk0M_q20,us,24M,504,0M,0,0.2,1992-01-02,2024-12-31,54.408143291999295,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,-0.5066610504696157,-0.021195895752900706,0.08966612711057673,-0.1939227448661495,-0.7128483271350458,-0.029734089210937075,0.5237636866803033,396,86.0423155051642,2.6089115037060977,0.2172785745079904,2051.419191919192,409.8939393939394,409.8939393939394,218,218,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7882,0.006083716115618805,0.049560023908207705,6229,3.444445,0.003287481429202496
us_lb24M_sk0M_q30,us,24M,504,0M,0,0.3,1992-01-02,2024-12-31,75.00332154100033,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,-0.43920208256340576,-0.017384765741079722,0.07443108200463004,-0.19828901500627985,-0.6290444463494764,-0.027636784398890182,0.5229214294308747,396,75.9105438327976,2.3017034106443264,0.19169329250706466,2051.419191919192,614.9772727272727,614.9772727272727,328,328,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,8134,0.005602893536283443,0.04013108171798657,9135,3.444445,0.00218250157804811
us_lb24M_sk1M_q10,us,24M,504,1M,21,0.1,1992-01-02,2024-12-31,32.932889625000826,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,-0.48836015602387195,-0.02011427175467273,0.11018429444443772,-0.129092874367309,-0.7448048357308448,-0.027006097154210155,0.5220791721814463,396,101.45338643808947,3.0761946074357533,0.25619542029820574,2037.5151515151515,203.31313131313132,203.31313131313132,108,108,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,6787,0.006377307501419294,0.07712861688302895,2700,3.444445,0.006653391568987507
us_lb24M_sk1M_q20,us,24M,504,1M,21,0.2,1992-01-02,2024-12-31,54.668632249995426,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,-0.44488106869859323,-0.017687970809232012,0.08752590878869557,-0.1599988031442275,-0.6605001131385897,-0.0267796635570305,0.5244856214655276,396,86.7558933146329,2.6305480826961247,0.2190805386733154,2037.5151515151515,407.1060606060606,407.1060606060606,216,216,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7838,0.005518019040532075,0.05473050950710874,5010,3.444445,0.0033011553322970025
us_lb24M_sk1M_q30,us,24M,504,1M,21,0.3,1992-01-02,2024-12-31,73.14530591700168,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,-0.37857768719769047,-0.014321625088291157,0.07302891767165964,-0.16091498261073792,-0.5801458900662171,-0.02468624760343731,0.5207556250752016,396,76.49179400794073,2.3193276488991774,0.19316109597964826,2037.5151515151515,610.8080808080808,610.8080808080808,324,324,0.9999999999999997,1.0000000000000004,3.3306690738754696e-16,8100,0.005091054809557028,0.039069544817531096,7491,3.444445,0.0021960719421657377
us_lb24M_sk3M_q10,us,24M,504,3M,63,0.1,1992-01-02,2024-12-31,33.01299937500153,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,-0.6119850263002438,-0.028297393625992928,0.10028225850525492,-0.23597609551754412,-0.7395330239514517,-0.038263867480582685,0.5171459511490796,396,101.1385846231606,3.0666494194484986,0.25540046622010254,2015.5025252525252,201.1161616161616,201.1161616161616,108,108,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,6816,0.0062043263774376025,0.07554379570053024,2790,3.444445,0.006712849846981734
us_lb24M_sk3M_q20,us,24M,504,3M,63,0.2,1992-01-02,2024-12-31,53.530377832998056,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,-0.5334141826759753,-0.022849211914320544,0.0798908675362736,-0.24929043944331952,-0.6500498927021234,-0.035149935675461895,0.5220791721814463,396,86.83556419462467,2.6329638042408154,0.21928172776420365,2015.5025252525252,402.70959595959596,402.70959595959596,216,216,0.9999999999999996,1.0000000000000004,2.7755575615628914e-16,7805,0.005514773742553682,0.04734871707665549,5092,3.444445,0.0033340289631736235
us_lb24M_sk3M_q30,us,24M,504,3M,63,0.3,1992-01-02,2024-12-31,71.44785120799497,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,-0.4717715806207625,-0.019165786896069847,0.06639364241777046,-0.2582112515321723,-0.5607766601730568,-0.034177219305374165,0.5201540127541812,396,76.5743528404505,2.321830936805863,0.1933695778799255,2015.5025252525252,604.1994949494949,604.1994949494949,324,324,0.9999999999999996,1.0000000000000004,2.7755575615628914e-16,8076,0.005094676304666911,0.03672118366749194,7482,3.444445,0.0022198413527086043
moex_lb6M_sk0M_q10,moex,6M,126,0M,0,0.1,2015-07-01,2024-12-30,3.2004819590001716,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.4854357545460801,0.10000973083256692,0.1428395727331403,0.7387804480921843,-0.284192359878492,0.35190858359220717,0.5230577482343166,114,49.22140531736456,5.153217341078466,0.4317667133102155,75.14035087719299,6.991228070175438,6.991228070175438,4,4,0.9999999999999998,1.0000000000000004,2.498001805406602e-16,98,0.010170738962703997,1.0,42,0.49504950495049505,0.03336694561398171
moex_lb6M_sk0M_q20,moex,6M,126,0M,0,0.2,2015-07-01,2024-12-30,3.405248000002757,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.3378852415236953,0.0929840171951064,0.09641806517311596,0.9705446817001308,-0.17872789196029792,0.520254651779598,0.5346904860822601,114,41.36313859178037,4.330498930257022,0.36283454905070506,75.14035087719299,14.578947368421053,14.578947368421053,8,8,0.9999999999999997,1.0000000000000004,2.220446049250313e-16,154,0.01025339239359466,1.0000000000000002,92,0.9905094396164219,0.020866789492866095
moex_lb6M_sk0M_q30,moex,6M,126,0M,0,0.3,2015-07-01,2024-12-30,3.3652963749991613,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.0777337481723492,0.07956789280702825,0.07562437198350003,1.0504014168608455,-0.2002069994061032,0.3974281271037453,0.5409223099293726,114,35.278902017524956,3.693511968598375,0.30946405278530664,75.14035087719299,22.105263157894736,22.105263157894736,13,13,0.9999999999999996,1.0000000000000004,2.3592239273284576e-16,191,0.009871323510127913,1.0,133,0.9905094396164219,0.013786116835740334
moex_lb6M_sk1M_q10,moex,6M,126,1M,21,0.1,2015-07-01,2024-12-30,3.2214386249979725,ME,1.0,0.0,fixed_notional_sleeves,252,2015-07-01,2024-12-30,2407,1.0819587869247562,0.07979751835443705,0.12977974452595126,0.6563758497685679,-0.29118197676013535,0.27404690098718304,0.5213959285417532,114,48.965295359389025,5.126404001066071,0.42952013473148276,74.70175438596492,6.947368421052632,6.947368421052632,4,4,0.9999999999999997,1.0000000000000004,2.3592239273284576e-16,116,0.011515628966660743,1.0,46,0.49504950495049505,0.03339261512483115
