market,run_id,selection_eligible,exclusion_reason,n_folds,top_fraction_rank_cutoff,median_train_rank,mean_train_rank,median_test_rank,mean_test_rank,worst_test_rank,median_absolute_rank_change,test_top_fraction_share,positive_test_net_sharpe_share,mean_test_net_sharpe,median_test_net_sharpe,worst_test_net_sharpe,mean_test_net_information_ratio,passes_median_train_top_fraction,passes_median_test_top_fraction,passes_test_top_fraction_share,passes_positive_test_sharpe_share,passes_rank_change_limit,stable_config
moex,moex_lb24M_sk1M_q30,True,,4,8,23.0,23.0,21.0,20.5,22.0,2.0,0.0,0.5,-0.14916156291746402,-0.12070341396059028,-0.6390579316881565,-0.36994319236645523,False,False,False,True,True,False
moex,moex_lb24M_sk1M_q10,True,,4,8,20.0,19.25,21.5,20.5,23.0,4.0,0.0,0.0,-0.17845765102373515,-0.1943348943154639,-0.3144338737541541,-0.32561275612021656,False,False,False,False,True,False
moex,moex_lb24M_sk3M_q30,True,,4,8,24.0,24.0,22.5,21.5,24.0,1.5,0.0,0.5,-0.28808095688979124,-0.28969791909695425,-0.7548219207948398,-0.4060658985125319,False,False,False,True,True,False
moex,moex_lb12M_sk0M_q30,False,known_sparse_signal_zero_target_caveat,4,8,,,,,,,,,1.1794122965504055,0.7458531808294827,0.27828748305262346,0.1268088555872462,False,False,False,False,False,False
moex,moex_lb12M_sk0M_q20,False,known_sparse_signal_zero_target_caveat,4,8,,,,,,,,,1.0794965683508924,0.5165514248353591,0.363480093538728,0.1768185546054717,False,False,False,False,False,False
moex,moex_lb12M_sk0M_q10,False,known_sparse_signal_zero_target_caveat,4,8,,,,,,,,,0.9459049464850531,0.6117709818240846,-0.17381085671535096,0.23201972044435493,False,False,False,False,False,False
us,us_lb6M_sk1M_q10,True,,8,9,4.5,5.625,6.5,9.875,24.0,6.0,0.5,0.75,0.561472639070623,0.7183799675271165,-0.9920932310553614,-0.4632002234041195,True,True,True,True,True,True
us,us_lb6M_sk0M_q20,True,,8,9,16.0,16.5,6.0,11.0,26.0,10.5,0.625,0.625,0.368369731312316,0.5906793413819229,-0.7938012138657686,-0.6841263301842297,False,True,True,True,False,False
us,us_lb6M_sk1M_q20,True,,8,9,15.5,14.125,7.5,10.25,25.0,13.0,0.5,0.75,0.530177035758496,0.6996512857304916,-1.023618549106455,-0.6245711435388106,False,True,True,True,False,False
us,us_lb6M_sk1M_q30,True,,8,9,24.0,19.5,8.5,11.125,24.0,14.0,0.625,0.75,0.453541256041895,0.49214706358922944,-0.9452726196329417,-0.7540899864637647,False,True,True,True,False,False
us,us_lb6M_sk3M_q30,True,,8,9,18.5,17.875,9.0,10.375,23.0,9.0,0.5,0.75,0.4765435768846794,0.45513786816618407,-0.7369196756458132,-0.7663715671939022,False,True,True,True,True,False
us,us_lb6M_sk0M_q30,True,,8,9,21.0,19.875,9.0,11.625,27.0,11.0,0.5,0.625,0.3768481057865196,0.5248654440952937,-0.7742210432702192,-0.7594744592970653,False,True,True,True,False,False
us,us_lb6M_sk3M_q10,True,,8,9,10.0,10.125,9.5,9.75,22.0,5.0,0.5,0.625,0.5006805198375377,0.5509504569197174,-0.608477129558866,-0.5413466721764683,False,False,True,True,True,False
us,us_lb12M_sk3M_q20,True,,8,9,8.5,9.5,10.5,12.0,21.0,5.0,0.375,0.5,0.14840859566789363,0.045035402046502776,-0.9830984735838613,-0.8555093037575167,True,False,False,True,True,False
us,us_lb6M_sk3M_q20,True,,8,9,14.5,14.375,11.5,10.625,21.0,7.5,0.25,0.625,0.45875735130634954,0.4759440614796146,-0.6712171534159229,-0.6917995307578705,False,False,False,True,True,False
us,us_lb12M_sk1M_q20,True,,8,9,1.0,2.125,12.5,12.5,16.0,11.5,0.125,0.625,0.23561921744996,0.3693111289783376,-1.2327125729860677,-0.780602851418007,True,False,False,True,False,False
us,us_lb6M_sk0M_q10,True,,8,9,9.5,9.5,13.0,13.375,27.0,6.0,0.375,0.625,0.3126992326678726,0.6435739290763574,-1.1132802892195637,-0.5975145024399036,False,False,False,True,True,False
us,us_lb12M_sk0M_q10,True,,8,9,2.0,2.5,13.0,15.5,25.0,11.0,0.25,0.625,0.23562514020953734,0.37713220004815573,-1.1857140384950158,-0.6373858394020547,True,False,False,True,False,False
us,us_lb24M_sk1M_q20,True,,8,9,17.5,17.0,13.5,14.875,27.0,8.5,0.375,0.375,-0.14014677845614226,-0.1720473211121952,-1.4225292720566165,-0.9588338775848844,False,False,False,False,True,False
us,us_lb12M_sk0M_q30,True,,8,9,8.5,9.625,14.0,14.875,26.0,6.5,0.375,0.625,0.21683187248223368,0.20151655538032198,-1.296180728379617,-0.8655961981045918,True,False,False,True,True,False
us,us_lb12M_sk3M_q30,True,,8,9,9.0,9.375,14.0,13.25,24.0,7.0,0.375,0.5,0.13254290530594448,-0.0865225920183166,-0.9005144223678804,-0.9183465602646224,True,False,False,True,True,False
us,us_lb12M_sk1M_q30,True,,8,9,4.0,4.75,14.5,13.0,18.0,11.0,0.375,0.625,0.2026314508483668,0.1845232345937059,-1.2402542489785824,-0.8857643431259774,True,False,False,True,False,False
us,us_lb12M_sk0M_q20,True,,8,9,6.5,7.5,15.0,14.375,21.0,10.0,0.125,0.625,0.22844801070223775,0.33901675864444547,-1.2674103579420606,-0.7691699164715498,True,False,False,True,False,False
us,us_lb24M_sk1M_q30,True,,8,9,21.0,20.25,15.5,14.875,26.0,9.5,0.375,0.375,-0.12933978369730034,-0.15546576362894954,-1.392270630889718,-0.9743464843016396,False,False,False,False,False,False
us,us_lb12M_sk3M_q10,True,,8,9,12.0,12.125,16.0,14.875,25.0,7.0,0.375,0.5,0.09013258155537526,-0.01730203693531296,-0.8204236749182312,-0.7905454326436744,False,False,False,True,True,False
us,us_lb24M_sk0M_q30,True,,8,9,19.5,19.375,16.0,15.875,23.0,2.5,0.125,0.375,-0.14390955458487587,-0.26526081088850256,-1.2250906798801482,-0.9842354615688559,False,False,False,False,True,False
us,us_lb12M_sk1M_q10,True,,8,9,4.0,4.375,17.0,16.625,26.0,13.0,0.125,0.625,0.211443142682112,0.45431099163489214,-1.3131535668373109,-0.6653846382852429,True,False,False,True,False,False
us,us_lb24M_sk3M_q10,True,,8,9,25.0,24.875,17.0,16.5,27.0,8.0,0.25,0.375,-0.251196740107399,-0.21374401465215792,-1.176788172266324,-0.9401839752832326,False,False,False,False,True,False
us,us_lb24M_sk1M_q10,True,,8,9,15.0,15.625,18.5,16.25,24.0,5.5,0.25,0.375,-0.16270670991596425,-0.14814116092272428,-1.370779048587815,-0.8949372650712986,False,False,False,False,True,False
us,us_lb24M_sk0M_q20,True,,8,9,18.0,17.875,19.5,18.0,26.0,5.5,0.125,0.375,-0.15655342039538972,-0.26976300720012847,-1.273919502495191,-0.96279494313119,False,False,False,False,True,False
us,us_lb24M_sk0M_q10,True,,8,9,23.0,20.625,21.5,20.25,27.0,5.0,0.125,0.25,-0.2534372667030336,-0.21711171554920558,-1.3780889506020084,-0.9489407133403718,False,False,False,False,True,False
us,us_lb24M_sk3M_q30,True,,8,9,27.0,26.625,21.5,18.25,27.0,5.0,0.25,0.25,-0.25476061469819156,-0.372591860560898,-1.2909084386481056,-1.0123443012061226,False,False,False,False,True,False
us,us_lb24M_sk3M_q20,True,,8,9,26.0,26.375,22.0,18.125,27.0,4.0,0.25,0.25,-0.21191007775655055,-0.27875857385986125,-1.2977824458518277,-0.973219962435426,False,False,False,False,True,False
