market,portfolio_type,portfolio_members,sample,transaction_cost_bps,is_primary_cost,n_days,start,end,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,hit_rate,annualized_turnover
crypto,best_frozen_single,crypto_lb6M_sk1M_q30,validation,10.0,True,975,2020-05-01,2022-12-31,0.5898523773782491,0.18954184874633784,0.2675230608312228,0.7820980293259163,1.1909746357082485,-0.28755699161923665,0.6591453321271222,0.49743589743589745,5.435734527659577
crypto,best_frozen_single,crypto_lb6M_sk1M_q30,validation,20.0,False,975,2020-05-01,2022-12-31,0.5669486945428583,0.18309741711719507,0.26751949295763033,0.7617894378259521,1.1601189395965308,-0.2883127910487574,0.6350651889261165,0.49641025641025643,5.435734527659577
moex,base_strategy,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,retrospective_holdout,0.0,False,510,2023-01-03,2024-12-30,0.0561937615491932,0.027382421710111737,0.08259000680323009,0.3682869961800155,0.5453566844190489,-0.10118670187567447,0.27061284934215785,0.4725490196078431,4.27317145237297
moex,base_strategy,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,retrospective_holdout,10.0,False,510,2023-01-03,2024-12-30,0.04709824251805417,0.023001197784854543,0.08259877575631949,0.3165138203113801,0.4683045727245156,-0.10200150205258784,0.22549861837324764,0.4725490196078431,4.27317145237297
moex,base_strategy,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,retrospective_holdout,20.0,True,510,2023-01-03,2024-12-30,0.038077751720313024,0.018637057940886992,0.0826256953029781,0.2646934774358798,0.39134259660627985,-0.10281581464206346,0.1812664521092293,0.47058823529411764,4.27317145237297
moex,base_strategy,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,validation,0.0,False,1897,2015-07-01,2022-12-30,0.9079556314843296,0.08960995355934553,0.07565460006998001,1.172398327551066,1.5394036828816762,-0.1400935899442668,0.6396434954304113,0.5413811280969952,4.062230993633276
moex,base_strategy,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,validation,10.0,False,1897,2015-07-01,2022-12-30,0.8505083366834219,0.08519378441276793,0.07565877390798116,1.1186421776130318,1.4694550285446781,-0.1419749255858459,0.6000621874688361,0.5392725355824987,4.062230993633276
moex,base_strategy,moex_lb6M_sk1M_q30+moex_lb6M_sk3M_q20+moex_lb6M_sk1M_q20,validation,20.0,True,1897,2015-07-01,2022-12-30,0.7947713618108727,0.08079396356777213,0.07568105189246849,1.0646372188484492,1.399279210485756,-0.14385284090671702,0.561643156009438,0.5376910911966263,4.062230993633276
moex,best_frozen_single,moex_lb6M_sk1M_q30,retrospective_holdout,0.0,False,510,2023-01-03,2024-12-30,0.040516089988003046,0.01981861882850522,0.07565386528826491,0.2971612244442385,0.42816370108199564,-0.09183282559978012,0.21581192453858974,0.49607843137254903,3.7404821420390553
moex,best_frozen_single,moex_lb6M_sk1M_q30,retrospective_holdout,10.0,False,510,2023-01-03,2024-12-30,0.0326632945265779,0.01600830985669477,0.07569291831338455,0.24759136678242355,0.35624669468719816,-0.09230928869236477,0.1734203576201847,0.49411764705882355,3.7404821420390553
